packet_id,packet_name,jurisdiction,theme,core_or_adjacent,layer,source_role,source_type,title_or_label,publisher_org,url,pub_date,language,collection_status,retrieval_method,why_selected,notes
US-03,U.S. AI Copyrightability Report,US,"generative AI copyright; authorship; copyrightability",core,social,social_1,social_post,"Nicole Hennig Bluesky summary of the report's human contribution rule",Bluesky,https://web-cdn.bsky.app/profile/nic221.bsky.social/post/3lgw3x76c2j2o,,en,collected,manual_url,"Short public-facing summary of the report's core human contribution logic.","Public-facing social summary of the report's human contribution logic."
US-03,U.S. AI Copyrightability Report,US,"generative AI copyright; authorship; copyrightability",core,social,social_2,social_post,"Polygon Bluesky summary of human authorship requirement",Bluesky,https://web-cdn.bsky.app/profile/polygon.com/post/3lgyc3gyyye24,,en,collected,manual_url,"Captures a media-to-social restatement of the report's core takeaway.","Media-to-social restatement of the report's human authorship requirement."
US-03,U.S. AI Copyrightability Report,US,"generative AI copyright; authorship; copyrightability",core,social,social_3,social_post,"Future of Music Coalition Bluesky post on disclosure requirements",Bluesky,https://bsky.app/profile/futureofmusic.bsky.social/post/3lgxm7rawqs2u,,en,collected,manual_url,"Shows downstream policy-community discussion of disclosure and authorship rules.","Policy-community discussion of disclosure and authorship rules from the report."
US-04,U.S. AI Training Report (Pre-publication),US,"generative AI training; adjacent copyright policy",adjacent,official,anchor,official_report,"Copyright and Artificial Intelligence, Part 3: Generative AI Training (Pre-publication)",U.S. Copyright Office,https://www.copyright.gov/ai/Copyright-and-Artificial-Intelligence-Part-3-Generative-AI-Training-Report-Pre-Publication-Version.pdf,2025-05-09,en,reserve,manual_url,"Strong adjacent packet on training-data copyright and public-policy reaction.","Useful adjacent packet but the first U.S. packet to cut if scope gets too tight."
CN-01,China Software-Generated Content Copyright Baseline,CN,"AI-generated content; originality; authorship baseline",core,official,anchor,official_case_notice,"全国首例计算机软件智能生成内容著作权纠纷案一审宣判，人工智能“创作”没有著作权",国家互联网信息办公室,https://www.cac.gov.cn/2019-07/11/c_1124739807.htm,2019-07-11,zh,reserve,manual_url,"Useful doctrinal baseline on human authorship and non-copyrightability of software-generated content.","Early and not fully aligned with current GenAI, and current social trace is thinner than other packets."
CN-02,China AI Image Copyright Case,CN,"generative AI copyright; authorship; copyrightability",core,official,anchor,judicial_opinion,"北京互联网法院 AI 文生图著作权案一审判决",Beijing Internet Court,https://english.bjinternetcourt.gov.cn/pdf/BeijingInternetCourtCivilJudgment112792023.pdf,2023-12-27,en,collected,manual_url,"Beijing Internet Court ruling on human creative contribution, originality, and AI-generated image copyrightability.","English translation of the Beijing Internet Court judgment."
CN-02,China AI Image Copyright Case,CN,"generative AI copyright; authorship; copyrightability",core,news,news_1,business_news,"AI 文生图有版权吗？北京互联网法院一审判了",每日经济新闻,https://www.nbd.com.cn/articles/2023-12-27/3184073.html,,zh,collected,manual_url,"Mainstream business-news framing of the Beijing Internet Court case.","Useful public-facing explanation of originality and authorship issues."
CN-02,China AI Image Copyright Case,CN,"generative AI copyright; authorship; copyrightability",core,news,news_2,business_news,"AI绘画有版权吗？北京互联网法院判了",经济观察网,https://www.eeo.com.cn/2023/1228/621917.shtml,,zh,collected,manual_url,"Second-outlet interpretation of the same case for framing comparison.","Second-outlet coverage of the same case for framing comparison."
CN-02,China AI Image Copyright Case,CN,"generative AI copyright; authorship; copyrightability",core,news,news_3,market_news,"AI文生图著作权案落槌，判决鼓励新技术发展",证券时报,https://www.stcn.com/article/detail/1095723.html,2024-01-18,zh,collected,manual_url,"Financial media coverage of the Beijing Internet Court AI image case.","Financial media coverage with emphasis on judicial reasoning about innovation and rights protection."
CN-02,China AI Image Copyright Case,CN,"generative AI copyright; authorship; copyrightability",core,social,social_1,tech_media_post,"IT之家报道北京互联网法院首例AI文生图著作权案庭审",IT之家,https://www.ithome.com/0/715/350.htm,2023-08-28,zh,collected,manual_url,"Tech media coverage of the Beijing Internet Court AI image copyright case hearing.","Tech media coverage including public live-streaming and expert commentary."
CN-03,China GenAI Service Measures,CN,"generative AI governance; IP compliance; adjacent copyright discourse",adjacent,official,anchor,regulatory_measure,"生成式人工智能服务管理暂行办法",国家互联网信息办公室,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,2023-07-13,zh,reserve,manual_url,"Broad governance bridge that still touches lawful training data, IP respect, and service responsibility.","Adjacent regulatory measure on generative AI service management."
CN-04,China Synthetic Content Labeling Measures,CN,"synthetic content governance; provenance; adjacent copyright discourse",adjacent,official,anchor,regulatory_notice,"关于印发《人工智能生成合成内容标识办法》的通知",国家互联网信息办公室,https://www.cac.gov.cn/2025-03/14/c_1743654684782215.htm,2025-03-14,zh,collected,manual_url,"High-salience China official text with likely downstream news and public-discourse links.","Included on the shortlist because it is easier to connect across official/news/social layers than some more doctrinal packets."
CN-04,China Synthetic Content Labeling Measures,CN,"synthetic content governance; provenance; adjacent copyright discourse",adjacent,news,news_1,state_media_news,"《人工智能生成合成内容标识办法》发布 将于9月1日起施行",央视网,https://news.cctv.com/2025/03/15/ARTI3wMX1ohsE7LsLT4qBVrv250315.shtml,,zh,collected,manual_url,"Major state-media coverage directly summarizing the new labeling rule.","State-media coverage of the labeling measures rollout."
CN-04,China Synthetic Content Labeling Measures,CN,"synthetic content governance; provenance; adjacent copyright discourse",adjacent,news,news_2,state_media_news,"国家互联网信息办公室等四部门联合发布《人工智能生成合成内容标识办法》",央视网,https://news.cctv.com/2025/03/15/ARTIbcefHkEFE7yce9kc97Ql250315.shtml,,zh,collected,manual_url,"Second state-media explainer with likely overlapping but differently framed summary language.","Second state-media coverage of the labeling measures with different framing emphasis."
CN-04,China Synthetic Content Labeling Measures,CN,"synthetic content governance; provenance; adjacent copyright discourse",adjacent,news,news_3,state_media_news,"AI生成合成内容标识办法发布 有何重要意义？",央广网,https://www.cnr.cn/newscenter/native/gd/kx/20250315/t20250315_527102163.shtml,2025-03-15,zh,collected,manual_url,"State media analysis of the labeling measures' regulatory significance.","State media analysis with expert commentary on the labeling measures."
CN-04,China Synthetic Content Labeling Measures,CN,"synthetic content governance; provenance; adjacent copyright discourse",adjacent,social,social_1,social_post,"中国新闻周刊微博发布标识办法要点",微博,https://www.weibo.com/1642512402/PiwrVfYCa,,zh,collected,manual_url,"Social dissemination of the regulation through a high-visibility media account.","Original post no longer publicly accessible; text reconstructed from cached summaries."
CN-04,China Synthetic Content Labeling Measures,CN,"synthetic content governance; provenance; adjacent copyright discourse",adjacent,social,social_2,social_post,"新浪科技 Weibo post on the labeling rule",微博,https://www.weibo.com/1642634100/PiwHaunIw?s=6cm7D0,,zh,collected,manual_url,"Tech-media social repost of the labeling rule.","Useful for social repost/discussion layer."
CN-04,China Synthetic Content Labeling Measures,CN,"synthetic content governance; provenance; adjacent copyright discourse",adjacent,social,social_3,social_post,"法治网微博转发标识办法施行通知",微博,https://www.weibo.com/2087875965/PixI5cqGT,,zh,collected,manual_url,"Legal media social post on the labeling regulation.","Original post no longer publicly accessible; text reconstructed from cached summaries."
